Date,Total

"20240111T",655.3
"20240112T",203
"20240116T",-52.7
"20240117T",453.8
"20240118T",-126.6
"20240119T",43.6
"20240122T",-87.4
"20240123T",-106.1
"20240124T",-158.3
"20240125T",-79.8
"20240126T",14.8
"20240129T",255.1
"20240130T",247.3
"20240131T",197.6
"20240201T",38.5
"20240202T",80
"20240205T",68.1
"20240206T",33.6
"20240207T",146
"20240208T",405
"20240209T",541.5
"20240212T",493.4
"20240213T",636.3
"20240214T",339.7
"20240215T",477.4
"20240216T",330.3
"20240220T",135.6
"20240221T",-35.6
"20240222T",251.4
"20240223T",232.5
"20240226T",519.9
"20240227T",576.9
"20240228T",673.4
"20240229T",92.3
"20240301T",-139.6
"20240304T",562.7
"20240305T",648.3
"20240306T",332
"20240307T",472.5
"20240308T",223
"20240311T",505.4
"20240312T",1045
"20240313T",683.7
"20240314T",132.7
"20240315T",198.8
"20240318T",-154.3
"20240319T",-326.2
"20240320T",-261.5
"20240321T",-94
"20240322T",-51.6
"20240325T",15.4
"20240326T",418
"20240327T",243.5
"20240328T",182.8
"20240401T",-85.7
"20240402T",39.5
"20240403T",113.5
"20240404T",213.4
"20240405T",203
"20240408T",-223.8
"20240409T",-19.4
"20240410T",123.7
"20240411T",91.3
"20240412T",-55.1
"20240415T",-36.7
"20240416T",-58
"20240417T",-165
"20240418T",-4.3
"20240419T",59.7
"20240422T",62.2
"20240423T",31.6
"20240424T",-120.6
"20240425T",-217.6
"20240426T",-83.6
"20240429T",-51.6
"20240430T",-161.6
"20240501T",-563.7
"20240502T",-34.4
"20240503T",378.3
"20240506T",217
"20240507T",-15.7
"20240508T",11.5
"20240509T",-11.3
"20240510T",-84.7
"20240513T",66
"20240514T",100.5
"20240515T",303
"20240516T",257.3
"20240517T",221.5
"20240520T",237.2
"20240521T",305.7
"20240522T",154
"20240523T",107.9
"20240524T",251.9
"20240528T",45
"20240529T",28.3
"20240530T",48.8
"20240531T",48.8
"20240603T",105.1
"20240604T",886.6
"20240605T",488.1
"20240606T",217.7
"20240607T",131
"20240610T",-64.9
"20240611T",-200.4
"20240612T",100.8
"20240613T",-226.2
"20240614T",-189.9
"20240617T",-145.9
"20240618T",-152.4
"20240620T",-139.9
"20240621T",-105.9
"20240624T",-174.5
"20240625T",31
"20240626T",21.4
"20240627T",11.8
"20240628T",73
"20240701T",129.5
"20240702T",-13.7
"20240703T",-20.5
"20240705T",143.1
"20240708T",294.8
"20240709T",216.4
"20240710T",147.4
"20240711T",78.9
"20240712T",310.1
"20240715T",300.9
"20240716T",422.5
"20240717T",53.3
"20240718T",37.2
"20240719T",427.2
"20240722T",485.9
"20240723T",-78
"20240724T",44.5
"20240725T",31.1
"20240726T",51.8
"20240729T",124.1
"20240730T",-18.3
"20240731T",0.3
"20240801T",50.6
"20240802T",-237.4
"20240805T",-168.4
"20240806T",-148.6
"20240807T",45.1
"20240808T",194.6
"20240809T",-89.7
"20240812T",27.8
"20240813T",39
"20240814T",-81.4
"20240815T",11.1
"20240816T",35.9
"20240819T",62.1
"20240820T",88
"20240821T",39.5
"20240822T",64.8
"20240823T",252
"20240826T",202.6
"20240827T",-127.1
"20240828T",-105.3
"20240829T",-71.8
"20240830T",-175.6
"20240903T",-287.8
"20240904T",-37.2
"20240905T",-211.1
"20240906T",-170
"20240909T",28.6
"20240910T",117
"20240911T",-43.9
"20240912T",39
"20240913T",263.2
"20240916T",12.8
"20240917T",186.8
